"","Style","Brewery_id","Beer_Name","Beer_ID","ABV","IBU","Ounces","Brewery_Name","City","State"
"186","American IPA",1,"Get Together",2692,0.045,50,16,"NorthGate Brewing ","Minneapolis"," MN"
"251","Milk / Sweet Stout",1,"Maggie's Leap",2691,0.049,26,16,"NorthGate Brewing ","Minneapolis"," MN"
"3101","English Brown Ale",1,"Wall's End",2690,0.048,19,16,"NorthGate Brewing ","Minneapolis"," MN"
"439","Pumpkin Ale",1,"Pumpion",2689,0.06,38,16,"NorthGate Brewing ","Minneapolis"," MN"
"564","American Porter",1,"Stronghold",2688,0.06,25,16,"NorthGate Brewing ","Minneapolis"," MN"
"625","Extra Special / Strong Bitter (ESB)",1,"Parapet ESB",2687,0.056,47,16,"NorthGate Brewing ","Minneapolis"," MN"
"75","American Double / Imperial IPA",2,"Citra Ass Down",2686,0.08,68,16,"Against the Grain Brewery","Louisville"," KY"
"894","English Barleywine",2,"London Balling",2685,0.125,80,16,"Against the Grain Brewery","Louisville"," KY"
"981","Milk / Sweet Stout",2,"35 K",2684,0.077,25,16,"Against the Grain Brewery","Louisville"," KY"
"10100","American Pale Ale (APA)",2,"A Beer",2683,0.042,42,16,"Against the Grain Brewery","Louisville"," KY"
"1139","German Pilsener",2,"Rules are Rules",2682,0.05,25,16,"Against the Grain Brewery","Louisville"," KY"
"1279","Pumpkin Ale",2,"Flesh Gourd'n",2681,0.066,21,16,"Against the Grain Brewery","Louisville"," KY"
"13100","Belgian Pale Ale",2,"Sho'nuff",2680,0.04,13,16,"Against the Grain Brewery","Louisville"," KY"
"1456","American Pilsner",2,"Bloody Show",2679,0.055,17,16,"Against the Grain Brewery","Louisville"," KY"
"15100","American Double / Imperial IPA",2,"Rico Sauvin",2678,0.076,68,16,"Against the Grain Brewery","Louisville"," KY"
"16100","Saison / Farmhouse Ale",2,"Coq de la Marche",2677,0.051,38,16,"Against the Grain Brewery","Louisville"," KY"
"1856","American IPA",2,"Pile of Face",2675,0.06,65,16,"Against the Grain Brewery","Louisville"," KY"
"193","English Brown Ale",2,"The Brown Note",2674,0.05,20,16,"Against the Grain Brewery","Louisville"," KY"
